Men's Players (Club, Country) - Sorted by Name
Aguillard, Antwain (AS Cannes VB, France)
Anderson, Matthew (Zenit Kazan, Russia)
Averill, Taylor (Powervolley Milano 2.0 SSD ARL, Italy)
Bantle, William Jackson (London Lynx, England)
Beal, Mitchell (TSV Jona Volleyball, Switzerland)
Benesh, Andrew (Lausanne Universite Club, Switzerland)
Benz, Andrew (Solingen Volleys e.V., Germany)
Burrow, Ryan (TJ Praga, Czech Republic)
Caballero, Noel (London Lynx, England)
Carmody, Thomas (Vammalan Lentopallo, Finland)
Chang, Brendan (IBB London Polonia, England)
Chappelle II, Christopher (VC Bitterfeld-Wolfen, Germany)
Christenson, Micah (A.S. Volley Lube SRL, Italy)
Domecus, Gabriel (Perungan Pojat, Finland)
Ermi, Shaun (Team Essex VC, England)
Fernandez, Gonzalo (TV Horde 1861 e.V., Germany)
Fey, Kupono (SSD Argos Volley s.r.l., Italy)
Fifer, Scott (Raision Loimu, Finland)
Franciskovic, Jennings (Modena Volley Punto Zero SSD RL, Italy)
Guimond, Derek (IBB London Polonia, England)
Hilling, Matthew (Sodertelge VBK, Sweden)
Holt, Maxwell (Modena Volley Punto Zero SSD RL, Italy)
Hudson, Travis (VC Bitterfeld-Wolfen, Germany)
Hunt, Nicholas (Middelfart VK, Denmark)
Jaeschke, Thomas (Bluvolley Verona S.S.D.a R.L., Italy)
Johnson, Kristopher (Clubul Sportiv al Armatei Steaua, Romania)
Kenny, Ryan (Durham University, England)
Kessel, Cody (SVG Luneburg, Germany)
Kevorken, Scott (VfB Friedrichshafen, Germany)
Kingstad, Daniel (Team Northumbria, England)
Lammey, Connor (TV Bliesen, Germany)
Langlois, Jake (Volley Milano s.r.l., Italy)
Lewis, Dennis (VBC Kaiserslautern e.V., Germany)
Lovett, Austen (London Lynx, England)
Lugo-Rodriguez, Amir (Rennes Volley 35, France)
Manoogian, Ryan (Penzugyor Sport Kft., Hungary)
Marshman, Michael (Plessis Robinson Volleyball, France)
Mather, Ryan (Akaa-Volley, Finland)
McDonnell, Daniel (Trefl Gdansk S.A., Poland)
Meehan, Ryan (Harbour Raiders Volleyball Club, New Zealand)
Menzel, Jeffrey (KPS Espadon Szczecin S.A., Poland)
Michelau, Michael (Jarvamaa VK, Estonia)
Mochalski, Eric (Polisportiva Tuscania SSD ARL, Italy)
Niemiec, Nicholas (TUB Bocholt, Germany)
Norman, Joseph (OK Mladost Ribola Kastela, Croatia)
Nugent, Christopher (VK Ostrava, Czech Republic)
Palmatier, Alexander (Team Essex VC, England)
Patch, Benjamin (Callipo Sport SRL, Italy)
Penning, Mitchell (SSD Argos Volley s.r.l., Italy)
Petty, Gregory (Rennes Volley 35, France)
Pollock, Matthew (Junior Volley Civita Castellana SSD ARL, Italy)
Pranger, John (VC Bitterfeld-Wolfen, Germany)
Rhein, Scott (Clubul Sportiv Dinamo, Romania)
Russell, Aaron (Sir Safety Perugia SCSD ARL, Italy)
Russell, Kyle (SCC Berlin, Germany)
Saeta, Michael (Chaumont Volley-Ball 52 Haute Marne, France)
Sander, Taylor (A.S. Volley Lube SRL, Italy)
Schmidt, Josh (VBC Colombier, Switzerland)
Schmiegelt, Jacob (Jarvamaa VK, Estonia)
Seif, Jonah (Miejski Klub Sportowy Bedzin S.A., Poland)
Shaw, James (Sir Safety Perugia SCSD ARL, Italy)
Shoji, Erik (Top Volley SRL, Italy)
Shoji, Kawika (Volley Milano s.r.l., Italy)
Siwicki, Scott (Akaa-Volley, Finland)
Slaught, Alexander (C.V. Almeria, Spain)
Smith, David (Aluron Virtu Warta Zawiercie S.A., Poland)
Speller, Relyea (Jarvamaa VK, Estonia)
Stahl, Mitchell (Paris Volley Universite Club, France)
Starkey, Daniel (Team Northumbria, England)
Stewart, Joshua (SC Duo, Estonia)
Tarquinio, Steven (Durham University, England)
Tarr, Robert (Harbour Raiders Volleyball Club, New Zealand)
Ukkelberg, Alex (Team Northumbria, England)
Vannoy, Hobie (London Lynx, England)
Varona Jr., Juan (London Lynx, England)
Walsh, Robert (Perungan Pojat, Finland)
Watten, Dustin (WKS Czarni Radom, Poland)
Weedon, Jason (University of Nottingham, England)
West, Matthew (Kladno volejbal cz, Czech Republic)
West, Nicholas (Sodertelge VBK, Sweden)
Whitt, Andrew (London Lynx, England)
Wilson, John (Kokkolan Tiikerit, Finland)
